{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.94978976, 'test gap-rms-sextuality': 0.03753009, 'test gap-rms-gender-identity': 0.10757718, 'test gap-rms-religion': 0.30905595, 'test gap-rms-race': 0.059858873, 'test bal-acc': 0.824521, 'fpr': 0.33038055896759033, 'fnr': 0.020577418, 'fpr-sextuality': 0.3055555820465088, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.476190447807312, 'fnr-gender-identity': 0.017294627, 'fpr-religion': 0.760000005364418, 'fnr-religion': 0.005076142, 'fpr-race': 0.41059601306915283, 'fnr-race': 0.026850509}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.9464633, 'test gap-rms-sextuality': 0.0868424, 'test gap-rms-gender-identity': 0.12587008, 'test gap-rms-religion': 0.2060555, 'test gap-rms-race': 0.082271926, 'test bal-acc': 0.8301631, 'fpr': 0.3136482834815979, 'fnr': 0.026025401, 'fpr-sextuality': 0.2361111044883728, 'fnr-sextuality': 0.1171875, 'fpr-gender-identity': 0.4841269850730896, 'fnr-gender-identity': 0.018529957, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.013536379, 'fpr-race': 0.42384105920791626, 'fnr-race': 0.016690856}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.94137955, 'test gap-rms-sextuality': 0.042560216, 'test gap-rms-gender-identity': 0.14611864, 'test gap-rms-religion': 0.2113963, 'test gap-rms-race': 0.07300821, 'test bal-acc': 0.8396745, 'fpr': 0.2860892415046692, 'fnr': 0.03456173, 'fpr-sextuality': 0.2569444179534912, 'fnr-sextuality': 0.0859375, 'fpr-gender-identity': 0.4841269850730896, 'fnr-gender-identity': 0.029647931, 'fpr-religion': 0.5800000131130219, 'fnr-religion': 0.02538071, 'fpr-race': 0.38410598039627075, 'fnr-race': 0.029753266}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.9547794, 'test gap-rms-sextuality': 0.059816293, 'test gap-rms-gender-identity': 0.112757705, 'test gap-rms-religion': 0.2506776, 'test gap-rms-race': 0.06390165, 'test bal-acc': 0.8268396, 'fpr': 0.33136481046676636, 'fnr': 0.01495593, 'fpr-sextuality': 0.2708333134651184, 'fnr-sextuality': 0.0703125, 'fpr-gender-identity': 0.4841269850730896, 'fnr-gender-identity': 0.009264979, 'fpr-religion': 0.6800000071525574, 'fnr-religion': 0.008460237, 'fpr-race': 0.41721856594085693, 'fnr-race': 0.01233672}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.947342, 'test gap-rms-sextuality': 0.08372424, 'test gap-rms-gender-identity': 0.13984375, 'test gap-rms-religion': 0.19449762, 'test gap-rms-race': 0.04509606, 'test bal-acc': 0.77886677, 'fpr': 0.4294619560241699, 'fnr': 0.012804497, 'fpr-sextuality': 0.3333333134651184, 'fnr-sextuality': 0.07421875, 'fpr-gender-identity': 0.619047611951828, 'fnr-gender-identity': 0.011117974, 'fpr-religion': 0.699999988079071, 'fnr-religion': 0.015228426, 'fpr-race': 0.4900662302970886, 'fnr-race': 0.01161103}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.93588775, 'test gap-rms-sextuality': 0.060679805, 'test gap-rms-gender-identity': 0.103095055, 'test gap-rms-religion': 0.18905748, 'test gap-rms-race': 0.06461692, 'test bal-acc': 0.8494004, 'fpr': 0.25754594802856445, 'fnr': 0.043653272, 'fpr-sextuality': 0.2013888955116272, 'fnr-sextuality': 0.10546875, 'fpr-gender-identity': 0.39682537317276, 'fnr-gender-identity': 0.032118592, 'fpr-religion': 0.5200000107288361, 'fnr-religion': 0.027072757, 'fpr-race': 0.34437084197998047, 'fnr-race': 0.041364297}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.94775, 'test gap-rms-sextuality': 0.06455732, 'test gap-rms-gender-identity': 0.10844552, 'test gap-rms-religion': 0.18039517, 'test gap-rms-race': 0.08045214, 'test bal-acc': 0.82383335, 'fpr': 0.3293963074684143, 'fnr': 0.022937054, 'fpr-sextuality': 0.2708333134651184, 'fnr-sextuality': 0.08984375, 'fpr-gender-identity': 0.476190447807312, 'fnr-gender-identity': 0.014823966, 'fpr-religion': 0.5800000131130219, 'fnr-religion': 0.010152284, 'fpr-race': 0.4370861053466797, 'fnr-race': 0.013062409}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 20.0, 'test-acc': 0.95295924, 'test gap-rms-sextuality': 0.09014577, 'test gap-rms-gender-identity': 0.08310497, 'test gap-rms-religion': 0.15801644, 'test gap-rms-race': 0.077222124, 'test bal-acc': 0.839769, 'fpr': 0.3001968264579773, 'fnr': 0.020265112, 'fpr-sextuality': 0.2013888955116272, 'fnr-sextuality': 0.09375, 'fpr-gender-identity': 0.4126983880996704, 'fnr-gender-identity': 0.0142063005, 'fpr-religion': 0.5200000107288361, 'fnr-religion': 0.020304568, 'fpr-race': 0.4039735198020935, 'fnr-race': 0.018142235}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.9389945, 'test gap-rms-sextuality': 0.054874096, 'test gap-rms-gender-identity': 0.11202643, 'test gap-rms-religion': 0.22963952, 'test gap-rms-race': 0.0329558, 'test bal-acc': 0.84965116, 'fpr': 0.2608267664909363, 'fnr': 0.039870914, 'fpr-sextuality': 0.2222222089767456, 'fnr-sextuality': 0.10546875, 'fpr-gender-identity': 0.4126983880996704, 'fnr-gender-identity': 0.038295243, 'fpr-religion': 0.5800000131130219, 'fnr-religion': 0.027072757, 'fpr-race': 0.30463576316833496, 'fnr-race': 0.04644412}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.94392145, 'test gap-rms-sextuality': 0.056391295, 'test gap-rms-gender-identity': 0.05316666, 'test gap-rms-religion': 0.13538133, 'test gap-rms-race': 0.0051751677, 'test bal-acc': 0.76700056, 'fpr': 0.45177167654037476, 'fnr': 0.014227219, 'fpr-sextuality': 0.3888888955116272, 'fnr-sextuality': 0.05859375, 'fpr-gender-identity': 0.5238095223903656, 'fnr-gender-identity': 0.01667696, 'fpr-religion': 0.6399999856948853, 'fnr-religion': 0.008460237, 'fpr-race': 0.4503311514854431, 'fnr-race': 0.021044992}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.95299065, 'test gap-rms-sextuality': 0.12097346, 'test gap-rms-gender-identity': 0.14501522, 'test gap-rms-religion': 0.25086954, 'test gap-rms-race': 0.08372654, 'test bal-acc': 0.81704915, 'fpr': 0.35104984045028687, 'fnr': 0.014851829, 'fpr-sextuality': 0.2013888955116272, 'fnr-sextuality': 0.08203125, 'fpr-gender-identity': 0.5476190447807312, 'fnr-gender-identity': 0.018529957, 'fpr-religion': 0.699999988079071, 'fnr-religion': 0.011844331, 'fpr-race': 0.46357613801956177, 'fnr-race': 0.016690856}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.94254065, 'test gap-rms-sextuality': 0.056711275, 'test gap-rms-gender-identity': 0.08957259, 'test gap-rms-religion': 0.21611701, 'test gap-rms-race': 0.04836482, 'test bal-acc': 0.8521985, 'fpr': 0.2595144510269165, 'fnr': 0.036088556, 'fpr-sextuality': 0.2222222089767456, 'fnr-sextuality': 0.10546875, 'fpr-gender-identity': 0.3809523582458496, 'fnr-gender-identity': 0.035824582, 'fpr-religion': 0.5600000023841858, 'fnr-religion': 0.027072757, 'fpr-race': 0.3245033025741577, 'fnr-race': 0.03773585}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.9501036, 'test gap-rms-sextuality': 0.04822386, 'test gap-rms-gender-identity': 0.13923211, 'test gap-rms-religion': 0.17854728, 'test gap-rms-race': 0.08367079, 'test bal-acc': 0.8509523, 'fpr': 0.27165353298187256, 'fnr': 0.026441807, 'fpr-sextuality': 0.2222222089767456, 'fnr-sextuality': 0.0703125, 'fpr-gender-identity': 0.4603174328804016, 'fnr-gender-identity': 0.020382952, 'fpr-religion': 0.5200000107288361, 'fnr-religion': 0.023688663, 'fpr-race': 0.38410598039627075, 'fnr-race': 0.02467344}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.9458985, 'test gap-rms-sextuality': 0.07836167, 'test gap-rms-gender-identity': 0.08489782, 'test gap-rms-religion': 0.18931216, 'test gap-rms-race': 0.029997433, 'test bal-acc': 0.78378963, 'fpr': 0.4166666865348816, 'fnr': 0.015754042, 'fpr-sextuality': 0.3194444179534912, 'fnr-sextuality': 0.05859375, 'fpr-gender-identity': 0.5317460298538208, 'fnr-gender-identity': 0.013588635, 'fpr-religion': 0.6800000071525574, 'fnr-religion': 0.016920473, 'fpr-race': 0.45695364475250244, 'fnr-race': 0.017416546}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.9452394, 'test gap-rms-sextuality': 0.060163938, 'test gap-rms-gender-identity': 0.11324312, 'test gap-rms-religion': 0.2541195, 'test gap-rms-race': 0.06728363, 'test bal-acc': 0.8146706, 'fpr': 0.346784770488739, 'fnr': 0.023873968, 'fpr-sextuality': 0.2847222089767456, 'fnr-sextuality': 0.078125, 'fpr-gender-identity': 0.5, 'fnr-gender-identity': 0.0142063005, 'fpr-religion': 0.699999988079071, 'fnr-religion': 0.010152284, 'fpr-race': 0.4370861053466797, 'fnr-race': 0.018867925}
